Bygging;Stofa
Aðalbygging;A050 A051 A052 A069 A207 A218 A222 A225 A229
Askja;N130 N131 N166
Árnagarður;A101 A201 A301 A303 A304 A310 A311
Eirberg;E101C E103C E201C E203C
Gimli;G101
Háskólatorg;Ht102 Ht103 Ht104 Ht105 Ht204 Ht302 Ht315
Lögberg;L102 L103 L201 L204 L205
Oddi;O102 O103 O201 O202 O301
VR-II;V138 V147 V152 V258 V260 V261
Hamar;H101 H201 H202 H203 H204 H205 H206 H207 H208 H209
Klettur;K204 K205 K206 K207 K208
Enni;E301 E303
Laugarvatn;K-salur K-salur-b Stofa-2
Nýi-Garður;NG014 NG015
