Fræ_asvi_;Deild;Stuttfagnúmer;Fagheiti;Dagsetning;Sta_nemar;Heildarfjöldi;Tegund lokaprófs
1;16;VI_112F;Starf  stjórnandans, forysta og samskipti;02/12/16 00:00;62;62;Heimapróf
1;14;LÖG111F;International Human Rights Law;02/12/16 08:00;49;49;Munnlegt
1;14;LÖG123F;Vi_urlög og vi_urlagapólitík;02/12/16 08:00;62;62;Munnlegt
5;51;I_N121F;N_sköpun og vi_skipta_róun í framkvæmd (I);02/12/16 09:00;15;15;Heimapróf
4;42;GSS075G;Bókmenntir, _jó_erni og menning;02/12/16 09:00;11;11;Heimapróf
5;53;LAN512G;Landslag, náttúrus_n og n_ting lands;02/12/16 09:00;25;25;Skriflegt
1;13;HAG504G;Vinnumarka_ur;02/12/16 09:00;8;8;Skriflegt
3;33;ÍSE302G;Málnotkun I;02/12/16 09:00;33;33;Munnlegt
2;23;LÆK515G;Lyfja- og eiturefnafræ_i;02/12/16 09:00;50;50;Skriflegt
4;41;Í_H040G;Blak;02/12/16 09:00;11;11;Skriflegt
1;16;VI_513G;Inngangur a_ vörumerkjastjórnun;02/12/16 09:00;124;124;Skriflegt
1;15;KYN101F;Almenn kynjafræ_i;02/12/16 09:00;22;22;Skriflegt
2;26;TSM302G;Stálgrindur og partager_;02/12/16 09:00;4;4;Skriflegt og Verklegt
1;15;KYN106G;Kynjamyndir og kynusli:  Inngangur a_ kynjafræ_i;02/12/16 09:00;32;32;Skriflegt
5;55;STÆ105G;Hagn_t stær_fræ_igreining;02/12/16 09:00;224;224;Skriflegt
2;26;TAN623G;Partager_ V  fræ_ileg/munnleg;02/12/16 09:00;7;7;Skriflegt og munnlegt
3;31;RÚS309G;Rússnesk málnotkun V;02/12/16 09:00;7;7;Munnlegt
4;42;GSS067G;Inngangur a_ íslensku sem faggrein;02/12/16 09:00;79;79;Skriflegt
5;56;UMV302G;Umhverfisverkfræ_i G;02/12/16 09:00;24;24;Skriflegt
3;34;SAG101G;Sagnfræ_ileg vinnubrög_;02/12/16 09:00;54;54;Skriflegt
5;53;LÍF118F;A_fer_ir í sameindalíffræ_i;02/12/16 09:00;3;3;Skriflegt
5;56;UMV117F;Umhverfisverkfræ_i F;02/12/16 09:00;1;1;Skriflegt
5;53;LAN108F;Landslag, náttúrus_n og n_ting lands;02/12/16 09:00;6;6;Skriflegt
5;54;TÖV501M;Hönnun tölva;02/12/16 09:00;21;21;Skriflegt
1;14;LÖG306G;Stjórns_sluréttur I;02/12/16 09:00;73;73;Próf í tölvuveri
5;53;LÍF523G;A_fer_ir í sameindalíffræ_i;02/12/16 09:00;30;30;Skriflegt
5;51;REI503M;Greining á frammistö_u tölvukerfa;02/12/16 09:00;15;15;Skriflegt
2;26;TAN107G;Formfræ_i tanna fræ_ileg;02/12/16 09:00;69;69;Skriflegt
3;33;MIS105F;Forníslenska 1;02/12/16 09:00;38;38;Skriflegt
2;26;TAN401G;Bitlækningar II, skriflegt;02/12/16 09:00;7;7;Verklegt
3;31;ÍTA303G;Ítalskt mál III;02/12/16 09:00;6;6;Skriflegt
5;51;VÉL502G;Straumfræ_i;02/12/16 09:00;31;31;Skriflegt
1;15;BLF314F;Stafrænir mi_lar;02/12/16 09:00;19;19;Heimapróf
2;21;HJÚ109G;Frumulífe_lisfræ_i;02/12/16 09:00;120;120;Skriflegt
2;25;SÁL308G;Tölfræ_i III;02/12/16 09:00;76;76;Skriflegt
5;55;STÆ108G;Stær_fræ_i N;02/12/16 09:00;129;129;Skriflegt
1;13;HAG108F;Vinnumarka_shagfræ_i fyrir meistaranema;02/12/16 09:00;3;3;Skriflegt
1;11;FÉL102G;Almenn félagsfræ_i: Hugmyndasaga og nútíma_jó_félagi_;02/12/16 13:30;114;114;Skriflegt
2;21;HJÚ305G;Lífe_lisfræ_i II;02/12/16 13:30;2;2;Skriflegt
