Best objective 3.395333666667e+04, best bound 3.395046106746e+04, gap 0.0085%
Best objective 1.572113000000e+04, best bound 1.572113000000e+04, gap 0.0000%
Best objective 2.398330500000e+04, best bound 2.398093567460e+04, gap 0.0099%
Best objective 3.529388787879e+04, best bound 3.504399584648e+04, gap 0.7080%
Best objective 2.836882800000e+04, best bound 2.836599600000e+04, gap 0.0100%
Best objective 2.107891500000e+04, best bound 2.107891500000e+04, gap 0.0000%
Best objective 1.764870000000e+04, best bound 1.764850666667e+04, gap 0.0011%
Best objective 2.582766500000e+04, best bound 2.582540049974e+04, gap 0.0088%
Best objective 1.844780714286e+04, best bound 1.844684285714e+04, gap 0.0052%
Best objective 1.719827333333e+04, best bound 1.719827333333e+04, gap 0.0000%
Best objective 3.208858965517e+04, best bound 3.204787003710e+04, gap 0.1269%
Best objective 2.642311739130e+04, best bound 2.626633653404e+04, gap 0.5933%
Best objective 3.403868709677e+04, best bound 3.401958233832e+04, gap 0.0561%
Best objective 2.661316818182e+04, best bound 2.661068181818e+04, gap 0.0093%
Best objective 2.020837222222e+04, best bound 2.020647253272e+04, gap 0.0094%
Best objective 2.619831739130e+04, best bound 2.619827391304e+04, gap 0.0002%
Best objective 2.101860000000e+04, best bound 2.101655263158e+04, gap 0.0097%
Best objective 2.342304736842e+04, best bound 2.339576021861e+04, gap 0.1165%
Best objective 2.536891666667e+04, best bound 2.536693032479e+04, gap 0.0078%
Best objective 2.385887272727e+04, best bound 2.385650965700e+04, gap 0.0099%
Best objective 2.193826500000e+04, best bound 2.193819500000e+04, gap 0.0003%
Best objective 2.818345000000e+04, best bound 2.809908896438e+04, gap 0.2993%
