Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2017.12.4;09:00;07076720176;608;7;3
2017.12.4;09:00;07011220176;1396;31;3
2017.12.4;09:00;07011220176;1397;32;3
2017.12.4;09:00;07011220176;1398;17;3
2017.12.4;09:00;70408320176;1354;19;3
2017.12.4;09:00;70408320176;1355;20;3
2017.12.4;09:00;70408320176;1356;13;3
2017.12.4;09:00;70408320176;1358;18;3
2017.12.4;09:00;06011420176;1313;12;3
2017.12.4;09:00;06011420176;1314;19;3
2017.12.4;09:00;06011420176;1312;12;3
2017.12.4;09:00;70763620176;471;24;3
2017.12.4;09:00;70763620176;472;23;3
2017.12.4;09:00;70763620176;1290;22;3
2017.12.4;09:00;70763620176;638;25;3
2017.12.4;09:00;07116820176;1396;7;3
2017.12.4;09:00;02013520176;1396;12;3
2017.12.4;09:00;02013520176;1397;12;3
2017.12.4;09:00;02013520176;1398;23;3
2017.12.4;09:00;02010820176;1398;6;3
2017.12.4;09:00;70436120176;1311;44;3
2017.12.4;09:00;70436120176;1313;12;3
2017.12.4;09:00;70436120176;1314;12;3
2017.12.4;09:00;70436120176;1312;12;3
2017.12.4;09:00;70851120176;1311;1;3
2017.12.4;09:00;70902220176;1246;8;3
2017.12.4;09:00;05712220176;472;2;3
2017.12.4;09:00;05770020176;60;24;3
2017.12.4;09:00;70071620176;1246;8;3
2017.12.4;09:00;04510320176;1352;22;3
2017.12.4;09:00;04510320176;1353;19;3
2017.12.4;09:00;04510320176;1356;12;3
2017.12.4;09:00;04510320176;1357;22;3
2017.12.4;09:00;04510320176;1358;12;3
2017.12.4;09:00;08210620176;742;12;3
2017.12.4;09:00;08210620176;744;13;3
2017.12.4;09:00;08210620176;765;14;3
2017.12.4;09:00;08210620176;767;18;3
2017.12.4;09:00;70737120176;1781;19;3
2017.12.4;09:00;04410520176;1311;35;3
2017.12.4;09:00;04410520176;1313;30;3
2017.12.4;09:00;04410520176;1314;17;3
2017.12.4;09:00;04410520176;1312;56;3
2017.12.4;09:00;09517720176;1246;8;3
2017.12.4;09:00;09631420176;914;12;3
2017.12.4;09:00;09631420176;915;24;3
2017.12.4;09:00;09631420176;1276;14;3
2017.12.4;09:00;09631420176;1277;12;3
2017.12.4;09:00;70311320176;742;21;3
2017.12.4;09:00;70311320176;767;12;3
2017.12.4;09:00;70909120176;915;4;3
2017.12.4;09:00;10024320176;914;6;3
2017.12.4;09:00;10046120176;914;24;3
2017.12.4;09:00;10046120176;915;20;3
2017.12.4;09:00;10046120176;1276;12;3
2017.12.4;09:00;10046120176;1277;12;3
2017.12.4;09:00;05750420176;1781;15;3
2017.12.4;09:00;70215320176;1781;4;3
2017.12.4;09:00;09313820176;744;8;3
2017.12.4;09:00;09313820176;765;8;3
2017.12.4;09:00;70748120176;742;2;3
2017.12.4;09:00;70737820176;608;35;3
