Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða;Forgangur
2.12.2016;09:00;05601120166;SAG101G;Adalbygging;A050;22;4;;;;;
;;;;;A050;;;22;24;1;2
;;;;;A051;;;0;12;0;2
;;;;;A052;;;0;18;0;2
2.12.2016;09:00;05601120166;SAG101G;Adalbygging;A218;23;4;;;;;
;;;;;A218;;;23;23;1;2
;;;;Adalbygging;;;;45;77;;;
;;;;;N130;;;0;20;0;2
;;;;;N131;;;0;30;0;2
;;;;Askja;;;;0;50;;;
2.12.2016;09:00;10150120166;KYN106G;Arnagardur;A201;15;3;;;;;
2.12.2016;09:00;70055120166;MIS105F;Arnagardur;A201;12;3;;;;;
2.12.2016;09:00;70311320166;UMV302G;Arnagardur;A201;21;3;;;;;
;;;;;A201;;;48;48;3;1
2.12.2016;09:00;10150120166;KYN106G;Arnagardur;A301;13;3;;;;;
2.12.2016;09:00;10542020166;KYN101F;Arnagardur;A301;17;3;;;;;
2.12.2016;09:00;04520520166;HAG301G;Arnagardur;A301;18;3;;;;;
;;;;;A301;;;48;48;3;1
2.12.2016;09:00;07074720166;TAN401G;Arnagardur;A304;6;3;;;;;
2.12.2016;09:00;05240920166;ITA303G;Arnagardur;A304;6;3;;;;;
2.12.2016;09:00;09523120166;LIF523G;Arnagardur;A304;14;3;;;;;
;;;;;A304;;;26;26;3;1
2.12.2016;09:00;70860620166;REI503M;Arnagardur;A311;9;3;;;;;
2.12.2016;09:00;70081520166;LIF118F;Arnagardur;A311;3;3;;;;;
2.12.2016;09:00;09523120166;LIF523G;Arnagardur;A311;12;3;;;;;
;;;;;A311;;;24;24;3;1
;;;;Arnagardur;;;;146;146;;;
2.12.2016;09:00;70803320166;HJU109G;Eirberg;E101C;12;3;;;;;
;;;;;E101C;;;12;12;1;3
2.12.2016;09:00;70803320166;HJU109G;Eirberg;E103C;37;3;;;;;
2.12.2016;09:00;02013520166;LAK515G;Eirberg;E103C;12;3;;;;;
;;;;;E103C;;;49;50;2;1
2.12.2016;09:00;70803320166;HJU109G;Eirberg;E201C;20;3;;;;;
2.12.2016;09:00;02013520166;LAK515G;Eirberg;E201C;24;3;;;;;
;;;;;E201C;;;44;44;2;1
2.12.2016;09:00;70803320166;HJU109G;Eirberg;E203C;38;3;;;;;
2.12.2016;09:00;02013520166;LAK515G;Eirberg;E203C;12;3;;;;;
;;;;;E203C;;;50;50;2;1
;;;;Eirberg;;;;155;156;;;
;;;;Gimli;;;;0;0;;;
2.12.2016;09:00;09101220166;STA105G;Haskolatorg;Ht102;49;3;;;;;
2.12.2016;09:00;70445420166;STA108G;Haskolatorg;Ht102;31;3;;;;;
;;;;;Ht102;;;80;80;2;1
2.12.2016;09:00;09101220166;STA105G;Haskolatorg;Ht103;40;3;;;;;
2.12.2016;09:00;70445420166;STA108G;Haskolatorg;Ht103;12;3;;;;;
;;;;;Ht103;;;52;52;2;1
2.12.2016;09:00;09101220166;STA105G;Haskolatorg;Ht104;12;3;;;;;
2.12.2016;09:00;70445420166;STA108G;Haskolatorg;Ht104;40;3;;;;;
;;;;;Ht104;;;52;52;2;1
2.12.2016;09:00;70215320166;TSM302G;Haskolatorg;Ht105;4;3;;;;;
2.12.2016;09:00;09101220166;STA105G;Haskolatorg;Ht105;64;3;;;;;
2.12.2016;09:00;70445420166;STA108G;Haskolatorg;Ht105;12;3;;;;;
;;;;;Ht105;;;80;80;3;1
;;;;Haskolatorg;;;;264;264;;;
2.12.2016;09:00;09101220166;STA105G;Logberg;L102;15;3;;;;;
2.12.2016;09:00;04063020166;HAG108F;Logberg;L102;2;3;;;;;
2.12.2016;09:00;04531220166;HAG504G;Logberg;L102;8;3;;;;;
;;;;;L102;;;25;25;3;1
2.12.2016;09:00;09101220166;STA105G;Logberg;L103;13;3;;;;;
2.12.2016;09:00;70445420166;STA108G;Logberg;L103;12;3;;;;;
;;;;;L103;;;25;25;2;1
;;;;Logberg;;;;50;50;;;
2.12.2016;09:00;07116220166;TAN623G;Oddi;O201;7;3;;;;;
2.12.2016;09:00;70055120166;MIS105F;Oddi;O201;12;3;;;;;
2.12.2016;09:00;70562020166;LAN512G;Oddi;O201;24;3;;;;;
;;;;;O201;;;43;44;3;2
2.12.2016;09:00;70562220166;LAN108F;Oddi;O202;6;3;;;;;
2.12.2016;09:00;70055120166;MIS105F;Oddi;O202;14;3;;;;;
;;;;;O202;;;20;20;2;2
;;;;Oddi;;;;63;64;;;
;;;;;V138;;;0;18;0;2
;;;;;V147;;;0;15;0;2
2.12.2016;09:00;08214420166;VEL502G;VRII;V152;12;3;;;;;
2.12.2016;09:00;07011220166;TAN107G;VRII;V152;24;3;;;;;
;;;;;V152;;;36;36;2;1
2.12.2016;09:00;07011220166;TAN107G;VRII;V156;22;3;;;;;
;;;;;V156;;;22;22;1;1
2.12.2016;09:00;08322120166;TOV501M;VRII;V258;21;3;;;;;
;;;;;V258;;;21;22;1;1
2.12.2016;09:00;08214420166;VEL502G;VRII;V261;14;3;;;;;
2.12.2016;09:00;07011220166;TAN107G;VRII;V261;14;3;;;;;
;;;;;V261;;;28;30;2;1
;;;;VRII;;;;107;143;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H101;20;3;;;;;
;;;;;H101;;;20;20;1;2
2.12.2016;09:00;10026220166;SAL308G;Hamar;H201;12;3;;;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H201;13;3;;;;;
;;;;;H201;;;25;25;2;1
2.12.2016;09:00;10026220166;SAL308G;Hamar;H202;16;3;;;;;
;;;;;H202;;;16;16;1;1
2.12.2016;09:00;04440220166;VID513G;Hamar;H203;16;3;;;;;
;;;;;H203;;;16;16;1;1
2.12.2016;09:00;10026220166;SAL308G;Hamar;H204;12;3;;;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H204;13;3;;;;;
;;;;;H204;;;25;25;2;1
2.12.2016;09:00;10026220166;SAL308G;Hamar;H205;12;3;;;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H205;13;3;;;;;
;;;;;H205;;;25;25;2;1
2.12.2016;09:00;70064520166;ITH040G;Hamar;H206;9;3;;;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H206;13;3;;;;;
;;;;;H206;;;22;22;2;1
2.12.2016;09:00;10026220166;SAL308G;Hamar;H207;21;3;;;;;
2.12.2016;09:00;04440220166;VID513G;Hamar;H207;24;3;;;;;
;;;;;H207;;;45;45;2;1
;;;;Hamar;;;;194;194;;;
2.12.2016;09:00;70791320166;GSS067G;Klettur;K204;23;3;;;;;
;;;;;K204;;;23;23;1;3
;;;;;K205;;;0;20;0;3
;;;;;K206;;;0;20;0;3
2.12.2016;09:00;70791320166;GSS067G;Klettur;K207;24;3;;;;;
;;;;;K207;;;24;25;1;3
2.12.2016;09:00;70791320166;GSS067G;Klettur;K208;25;3;;;;;
;;;;;K208;;;25;25;1;3
;;;;Klettur;;;;72;113;;;
;;;;;E301;;;0;30;0;3
;;;;;E303;;;0;20;0;3
;;;;Enni;;;;0;50;;;
;;;;;K-salur;;;0;40;0;1
;;;;;Stofa_2;;;0;22;0;2
;;;;Laugarvatn;;;;0;62;;;
;;;;NyjiGardur;;;;0;0;;;
Tölvustofur;;;;;;;;;;;;
;;;;Adalbygging;;;;0;0;;;
;;;;Askja;;;;0;0;;;
;;;;Arnagardur;;;;0;0;;;
;;;;Eirberg;;;;0;0;;;
;;;;;G101;;;0;21;0;1;;;;;Gimli;;;;0;21;;;
2.12.2016;09:00;70763920166;LOG306G;Haskolatorg;Ht204;24;3;;;;;
;;;;;Ht204;;;24;40;1;1;;;;;Haskolatorg;;;;24;40;;;
;;;;Logberg;;;;0;0;;;
2.12.2016;09:00;70763920166;LOG306G;Oddi;O301;38;3;;;;;
;;;;;O301;;;38;38;1;1;;;;;Oddi;;;;38;38;;;
;;;;;V260;;;0;22;0;1;;;;;VRII;;;;0;22;;;
;;;;Hamar;;;;0;0;;;
;;;;Klettur;;;;0;0;;;
;;;;Enni;;;;0;0;;;
;;;;Laugarvatn;;;;0;0;;;
;;;;;NG014;;;0;10;0;3;;;;;;NG015;;;0;15;0;3;;;;;NyjiGardur;;;;0;25;;;
Sérúrræði;;;;;;;;;;;;
;;;;;A069;;;0;12;0;2
;;;;;A207;;;0;18;0;1
2.12.2016;09:00;05601120166;SAG101G;Adalbygging;A222;5;4;;;;
;;;;;A222;;;5;16;1;1
;;;;;A225;;;0;18;0;1
;;;;;A229;;;0;10;0;1
;;;;Adalbygging;;;;5;74;;;
;;;;Askja;;;;0;0;;;
2.12.2016;09:00;10150120166;KYN106G;Arnagardur;A101;2;3;;;;
2.12.2016;09:00;70311420166;UMV117F;Arnagardur;A101;1;3;;;;
2.12.2016;09:00;70803320166;HJU109G;Arnagardur;A101;12;3;;;;
;;;;;A101;;;15;15;3;2
2.12.2016;09:00;09523120166;LIF523G;Arnagardur;A303;3;3;;;;
2.12.2016;09:00;07011220166;TAN107G;Arnagardur;A303;7;3;;;;
;;;;;A303;;;10;10;2;2
2.12.2016;09:00;70860620166;REI503M;Arnagardur;A310;3;3;;;;
2.12.2016;09:00;70055120166;MIS105F;Arnagardur;A310;1;3;;;;
2.12.2016;09:00;07074720166;TAN401G;Arnagardur;A310;1;3;;;;
2.12.2016;09:00;10542020166;KYN101F;Arnagardur;A310;3;3;;;;
2.12.2016;09:00;04520520166;HAG301G;Arnagardur;A310;3;3;;;;
2.12.2016;09:00;70311320166;UMV302G;Arnagardur;A310;3;3;;;;
;;;;;A310;;;14;14;6;2
;;;;Arnagardur;;;;39;39;;;
;;;;Eirberg;;;;0;0;;;
;;;;Gimli;;;;0;0;;;
;;;;Haskolatorg;;;;0;0;;;
