Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
12.12.2016;13:30;70803020166;HJU106G;Eirberg;E101C;12;3;3
12.12.2016;13:30;70803020166;HJU106G;Eirberg;E203C;36;3;1
12.12.2016;13:30;70803020166;HJU106G;Eirberg;E103C;38;3;1
12.12.2016;13:30;70803020166;HJU106G;Eirberg;E201C;16;3;1
12.12.2016;13:30;70803020166;HJU106G;Logberg;L201;11;3;2
12.12.2016;13:30;70651320166;HJU135F;Arnagardur;A301;21;3;1
12.12.2016;13:30;70651320166;HJU135F;Arnagardur;A101;1;3;2
12.12.2016;13:30;10596520166;ASK101F;Haskolatorg;Ht103;17;3;1
12.12.2016;13:30;05152220166;ENS303G;Arnagardur;A201;27;3;1
12.12.2016;13:30;05152220166;ENS303G;Arnagardur;A301;16;3;1
12.12.2016;13:30;05152220166;ENS303G;Arnagardur;A311;13;3;1
12.12.2016;13:30;05152220166;ENS303G;Arnagardur;A304;13;3;1
12.12.2016;13:30;05152220166;ENS303G;Arnagardur;A101;4;3;2
12.12.2016;13:30;70028520166;FOM001F;Haskolatorg;Ht104;10;3;1
12.12.2016;13:30;70028520166;FOM001F;Haskolatorg;Ht103;10;3;1
12.12.2016;13:30;70028520166;FOM001F;Arnagardur;A310;1;3;2
12.12.2016;13:30;05251720166;FRA307G;Arnagardur;A304;5;3;1
12.12.2016;13:30;70662020166;GSL104G;VRII;V156;22;3;1
12.12.2016;13:30;70662020166;GSL104G;VRII;V261;30;3;1
12.12.2016;13:30;70662020166;GSL104G;VRII;V152;32;3;1
12.12.2016;13:30;70662020166;GSL104G;VRII;V258;14;3;1
12.12.2016;13:30;70662020166;GSL104G;Arnagardur;A310;10;3;2
12.12.2016;13:30;04075320166;HAG110F;Logberg;L103;11;3;1
12.12.2016;13:30;04075320166;HAG110F;Logberg;L102;11;3;1
12.12.2016;13:30;04075320166;HAG110F;Logberg;L201;3;3;2
12.12.2016;13:30;05500520166;ISE014G;Oddi;O202;13;3;2
12.12.2016;13:30;05500520166;ISE014G;Oddi;O201;44;3;2
12.12.2016;13:30;05502920166;ISE501G;Arnagardur;A201;10;3;1
12.12.2016;13:30;05502920166;ISE501G;Arnagardur;A311;10;3;1
12.12.2016;13:30;05502920166;ISE501G;Arnagardur;A101;1;3;2
12.12.2016;13:30;70574820166;JAR117F;Logberg;L103;13;3;1
12.12.2016;13:30;70574820166;JAR117F;Logberg;L102;12;3;1
12.12.2016;13:30;70574820166;JAR117F;Logberg;L201;2;3;2
12.12.2016;13:30;70069020166;LEF508G;Arnagardur;A301;11;3;1
12.12.2016;13:30;70069020166;LEF508G;Arnagardur;A310;2;3;2
12.12.2016;13:30;09517720166;LIF516M;Askja;N131;28;3;1
12.12.2016;13:30;09517720166;LIF516M;Logberg;L201;2;3;2
12.12.2016;13:30;70295020166;LAK310G;Eirberg;E203C;12;3;1
12.12.2016;13:30;70295020166;LAK310G;Eirberg;E103C;12;3;1
12.12.2016;13:30;70295020166;LAK310G;Eirberg;E201C;28;3;1
12.12.2016;13:30;70295020166;LAK310G;Arnagardur;A101;8;3;2
12.12.2016;13:30;70693620166;MAN330G;Adalbygging;A050;22;3;1
12.12.2016;13:30;70693620166;MAN330G;Adalbygging;A218;23;3;2
12.12.2016;13:30;70693620166;MAN330G;Adalbygging;A207;6;3;1
12.12.2016;13:30;08310320166;RAF501G;Arnagardur;A201;11;3;1
12.12.2016;13:30;08310320166;RAF501G;Arnagardur;A310;1;3;2
12.12.2016;13:30;10020320166;SAL104G;Haskolatorg;Ht104;41;3;1
12.12.2016;13:30;10020320166;SAL104G;Haskolatorg;Ht105;80;3;1
12.12.2016;13:30;10020320166;SAL104G;Haskolatorg;Ht102;80;3;1
12.12.2016;13:30;10020320166;SAL104G;Haskolatorg;Ht103;25;3;1
12.12.2016;13:30;10020320166;SAL104G;Adalbygging;A225;18;3;1
12.12.2016;13:30;10091820166;STJ503G;VRII;V258;8;3;1
12.12.2016;13:30;09122720166;STA519M;VRII;V152;4;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H204;25;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H206;22;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H205;25;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H207;39;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H201;25;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H202;12;3;1
12.12.2016;13:30;08711720166;TOL106G;Hamar;H208;15;3;1
12.12.2016;13:30;05751420166;TYS308G;Arnagardur;A304;8;3;1
12.12.2016;13:30;05751420166;TYS308G;Arnagardur;A101;1;3;2
