Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Sérnemar;Fjöldinema; Hámarksæti; Fjöldinámskeiða
2017.12.18;09:00;02015420176;LAK306F;Adalbygging;A050;23;3;FALSE;23;24;1
2017.12.18;09:00;10060020176;FRG101G;Eirberg;E103C;18;3;FALSE;50;50;2
2017.12.18;09:00;10060020176;FRG101G;Eirberg;E201C;12;3;FALSE;44;44;2
2017.12.18;09:00;10060020176;FRG101G;Eirberg;E203C;29;3;FALSE;50;50;2
2017.12.18;09:00;70269520176;LAK116G;Haskolatorg;HT103;37;3;FALSE;54;54;2
2017.12.18;09:00;70269420176;LAK115G;Haskolatorg;HT102;37;3;FALSE;74;80;3
2017.12.18;09:00;70269420176;LAK115G;Haskolatorg;HT104;12;3;FALSE;54;54;3
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_101;18;3;FALSE;18;20;1
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_201;12;3;FALSE;25;25;2
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_203;16;3;FALSE;16;16;1
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_204;13;3;FALSE;25;25;2
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_205;13;3;FALSE;25;25;2
2017.12.18;09:00;04440220176;VID513G;Stakkahlid_Hamar;H_206;22;3;FALSE;22;22;1
2017.12.18;09:00;70357420176;FRG509G;Arnagardur;A201;13;3;FALSE;49;50;2
2017.12.18;09:00;70357420176;FRG509G;Arnagardur;A301;20;3;FALSE;50;50;2
2017.12.18;09:00;70357420176;FRG509G;Arnagardur;A304;13;3;FALSE;26;26;2
2017.12.18;09:00;70357420176;FRG509G;Arnagardur;A311;12;3;FALSE;24;24;2
2017.12.18;09:00;70434020176;EFN309G;VR_2;V152;34;3;FALSE;34;36;1
2017.12.18;09:00;70434020176;EFN309G;VR_2;V156;22;3;FALSE;22;22;1
2017.12.18;09:00;70434020176;EFN309G;VR_2;V258;22;3;FALSE;22;22;1
2017.12.18;09:00;70434020176;EFN309G;VR_2;V261;30;3;FALSE;30;30;1
2017.12.18;09:00;02081120176;LEI102G;Eirberg;E103C;32;3;FALSE;50;50;2
2017.12.18;09:00;02081120176;LEI102G;Eirberg;E201C;32;3;FALSE;44;44;2
2017.12.18;09:00;02081120176;LEI102G;Eirberg;E203C;21;3;FALSE;50;50;2
2017.12.18;09:00;03031120176;LOG504G;Oddi;O201;40;3;FALSE;40;44;1
2017.12.18;09:00;03031120176;LOG504G;Oddi;O202;14;3;FALSE;20;20;2
2017.12.18;09:00;03031120176;LOG504G;Oddi;O301;38;3;FALSE;38;38;1
2017.12.18;09:00;03031120176;LOG504G;VR_2;V260;16;3;FALSE;16;21;1
2017.12.18;09:00;07042720176;TAN207G;Askja;Askja131;6;3;FALSE;30;30;2
2017.12.18;09:00;04530120176;HAG508G;HusVigdisar;VHV007;21;3;FALSE;21;42;1
2017.12.18;09:00;70852220176;LSS104G;Stakkahlid_Klettur;K_207;12;2;FALSE;12;25;1
2017.12.18;09:00;70852220176;LSS104G;Stakkahlid_Klettur;K_208;18;2;FALSE;18;25;1
2017.12.18;09:00;04520220176;HAG302G;Askja;Askja130;20;3;FALSE;20;20;1
2017.12.18;09:00;04520220176;HAG302G;Askja;Askja131;24;3;FALSE;30;30;2
2017.12.18;09:00;08216320176;VEL302G;Stakkahlid_Hamar;H_201;13;3;FALSE;25;25;2
2017.12.18;09:00;08216320176;VEL302G;Stakkahlid_Hamar;H_202;16;3;FALSE;16;16;1
2017.12.18;09:00;08216320176;VEL302G;Stakkahlid_Hamar;H_204;12;3;FALSE;25;25;2
2017.12.18;09:00;08216320176;VEL302G;Stakkahlid_Hamar;H_205;12;3;FALSE;25;25;2
2017.12.18;09:00;08715220176;TOL301G;Haskolatorg;HT102;16;3;FALSE;74;80;3
2017.12.18;09:00;08715220176;TOL301G;Haskolatorg;HT103;17;3;FALSE;54;54;2
2017.12.18;09:00;08715220176;TOL301G;Haskolatorg;HT104;19;3;FALSE;54;54;3
2017.12.18;09:00;08715220176;TOL301G;Haskolatorg;HT105;49;3;FALSE;80;80;2
2017.12.18;09:00;05751420176;TYS308G;Oddi;O202;6;3;FALSE;20;20;2
2017.12.18;09:00;08111120176;BYG301G;Logberg;L103;23;3;FALSE;23;25;1
2017.12.18;09:00;10026220176;SAL308G;Haskolatorg;HT102;21;3;FALSE;74;80;3
2017.12.18;09:00;10026220176;SAL308G;Haskolatorg;HT104;23;3;FALSE;54;54;3
2017.12.18;09:00;10026220176;SAL308G;Haskolatorg;HT105;31;3;FALSE;80;80;2
2017.12.18;09:00;05150420176;ENS103G;Arnagardur;A201;36;3;FALSE;49;50;2
2017.12.18;09:00;05150420176;ENS103G;Arnagardur;A301;30;3;FALSE;50;50;2
2017.12.18;09:00;05150420176;ENS103G;Arnagardur;A304;13;3;FALSE;26;26;2
2017.12.18;09:00;05150420176;ENS103G;Arnagardur;A311;12;3;FALSE;24;24;2
