Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu
2017.12.4;09:00;05770020176;JAP101G;Adalbygging;A050;24;3;;;;
;;;;;A050;;;24;24;1
;;;;Adalbygging;;;;24;24;;
2017.12.4;09:00;70909120176;SAL141F;Arnagardur;A201;4;3;;;;
2017.12.4;09:00;70408320176;ITH109G;Arnagardur;A201;13;3;;;;
2017.12.4;09:00;10046120176;FEL306G;Arnagardur;A201;33;3;;;;
;;;;;A201;;;50;50;3
2017.12.4;09:00;10024320176;SAL501M;Arnagardur;A301;6;3;;;;
2017.12.4;09:00;70408320176;ITH109G;Arnagardur;A301;31;3;;;;
2017.12.4;09:00;10046120176;FEL306G;Arnagardur;A301;12;3;;;;
;;;;;A301;;;49;50;3
2017.12.4;09:00;70408320176;ITH109G;Arnagardur;A304;14;3;;;;
2017.12.4;09:00;10046120176;FEL306G;Arnagardur;A304;12;3;;;;
;;;;;A304;;;26;26;2
2017.12.4;09:00;70408320176;ITH109G;Arnagardur;A311;12;3;;;;
2017.12.4;09:00;10046120176;FEL306G;Arnagardur;A311;12;3;;;;
;;;;;A311;;;24;24;2
;;;;Arnagardur;;;;149;150;;
2017.12.4;09:00;70215320176;TSM302G;Askja;Askja130;4;3;;;;
2017.12.4;09:00;09517720176;LIF516M;Askja;Askja130;8;3;;;;
2017.12.4;09:00;70902220176;LIF533M;Askja;Askja130;8;3;;;;
;;;;;Askja130;;;20;20;3
;;;;;Askja131;;;0;30;0
;;;;Askja;;;;20;50;;
;;;;;E101;;;0;12;0
2017.12.4;09:00;07011220176;TAN107G;Eirberg;E103C;38;3;;;;
2017.12.4;09:00;02013520176;LAK515G;Eirberg;E103C;12;3;;;;
;;;;;E103C;;;50;50;2
2017.12.4;09:00;07116820176;TAN608G;Eirberg;E201C;7;3;;;;
2017.12.4;09:00;07011220176;TAN107G;Eirberg;E201C;12;3;;;;
2017.12.4;09:00;02013520176;LAK515G;Eirberg;E201C;22;3;;;;
;;;;;E201C;;;41;44;3
2017.12.4;09:00;07076720176;TAN407G;Eirberg;E203C;7;3;;;;
2017.12.4;09:00;07011220176;TAN107G;Eirberg;E203C;30;3;;;;
2017.12.4;09:00;02013520176;LAK515G;Eirberg;E203C;13;3;;;;
;;;;;E203C;;;50;50;3
;;;;Eirberg;;;;141;156;;
;;;;Gimli;;;;0;0;;
2017.12.4;09:00;06011420176;LYF102G;Haskolatorg;HT102;31;3;;;;
2017.12.4;09:00;70737820176;SJU107G;Haskolatorg;HT102;23;3;;;;
2017.12.4;09:00;70436120176;LIF109G;Haskolatorg;HT102;12;3;;;;
;;;;;HT102;;;66;80;3
2017.12.4;09:00;70436120176;LIF109G;Haskolatorg;HT103;32;3;;;;
2017.12.4;09:00;04510320176;HAG101G;Haskolatorg;HT103;21;3;;;;
2017.12.4;09:00;70851120176;LIF540G;Haskolatorg;HT103;1;3;;;;
;;;;;HT103;;;54;54;3
2017.12.4;09:00;06011420176;LYF102G;Haskolatorg;HT104;12;3;;;;
2017.12.4;09:00;70436120176;LIF109G;Haskolatorg;HT104;25;3;;;;
2017.12.4;09:00;04510320176;HAG101G;Haskolatorg;HT104;12;3;;;;
;;;;;HT104;;;49;54;3
2017.12.4;09:00;70737820176;SJU107G;Haskolatorg;HT105;12;3;;;;
2017.12.4;09:00;70436120176;LIF109G;Haskolatorg;HT105;12;3;;;;
2017.12.4;09:00;04510320176;HAG101G;Haskolatorg;HT105;56;3;;;;
;;;;;HT105;;;80;80;3
;;;;Haskolatorg;;;;249;268;;
2017.12.4;09:00;70071620176;KIN309G;HusVigdisar;VHV007;7;3;;;;
2017.12.4;09:00;05750420176;TYS108G;HusVigdisar;VHV007;15;3;;;;
2017.12.4;09:00;70737120176;TOL504M;HusVigdisar;VHV007;19;3;;;;
;;;;;VHV007;;;41;42;3
;;;;HusVigdisar;;;;41;42;;
;;;;;K_salur;;;0;41;0
;;;;;Stofa2;;;0;22;0
;;;;Itrottafradasetur_Laugarvatn;;;;0;63;;
2017.12.4;09:00;70763620176;LOG304G;Logberg;L102;25;3;;;;
;;;;;L102;;;25;25;1
2017.12.4;09:00;70763620176;LOG304G;Logberg;L103;22;3;;;;
2017.12.4;09:00;05712220176;DAN304G;Logberg;L103;2;3;;;;
;;;;;L103;;;24;25;2
;;;;Logberg;;;;49;50;;
2017.12.4;09:00;08210620176;VEL301G;Oddi;O201;38;3;;;;
2017.12.4;09:00;02010820176;LAK307G;Oddi;O201;6;3;;;;
;;;;;O201;;;44;44;2
2017.12.4;09:00;08210620176;VEL301G;Oddi;O202;19;3;;;;
;;;;;O202;;;19;20;1
;;;;Oddi;;;;63;64;;
;;;;;E_301;;;0;30;0
;;;;;E_303;;;0;20;0
;;;;Stakkahlid_Enni;;;;0;50;;
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_101;12;3;;;;
;;;;;H_101;;;12;20;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_201;23;3;;;;
;;;;;H_201;;;23;25;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_202;16;3;;;;
;;;;;H_202;;;16;16;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_203;16;3;;;;
;;;;;H_203;;;16;16;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_204;25;3;;;;
;;;;;H_204;;;25;25;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_205;25;3;;;;
;;;;;H_205;;;25;25;1
2017.12.4;09:00;04410520176;VID302G;Stakkahlid_Hamar;H_206;22;3;;;;
;;;;;H_206;;;22;22;1
;;;;Stakkahlid_Hamar;;;;139;149;;
;;;;;K204;;;0;20;0
;;;;;K205;;;0;20;0
;;;;;K_206;;;0;20;0
;;;;;K_207;;;0;25;0
;;;;;K_208;;;0;25;0
;;;;Stakkahlid_Klettur;;;;0;110;;
2017.12.4;09:00;09631420176;LAN104G;VR_2;V138;12;3;;;;
;;;;;V138;;;12;18;1
;;;;;V147;;;0;15;0
2017.12.4;09:00;70311320176;UMV302G;VR_2;V152;16;3;;;;
2017.12.4;09:00;09631420176;LAN104G;VR_2;V152;12;3;;;;
2017.12.4;09:00;09313820176;EFN307G;VR_2;V152;8;3;;;;
;;;;;V152;;;36;36;3
2017.12.4;09:00;09631420176;LAN104G;VR_2;V156;13;3;;;;
;;;;;V156;;;13;22;1
2017.12.4;09:00;70748120176;EFN315G;VR_2;V258;2;3;;;;
2017.12.4;09:00;09631420176;LAN104G;VR_2;V258;12;3;;;;
2017.12.4;09:00;09313820176;EFN307G;VR_2;V258;8;3;;;;
;;;;;V258;;;22;22;3
2017.12.4;09:00;70311320176;UMV302G;VR_2;V261;17;3;;;;
2017.12.4;09:00;09631420176;LAN104G;VR_2;V261;13;3;;;;
;;;;;V261;;;30;30;2
;;;;VR_2;;;;113;143;;
Tölvustofur;;;;;;;;;;;
;;;;Adalbygging;;;;0;0;;
;;;;Arnagardur;;;;0;0;;
2017.12.4;09:00;70763620176;LOG304G;Askja;Askja166;23;3;;;;
2017.12.4;09:00;70902420176;LIF535M;Askja;Askja166;1;3;;;;
;;;;;Askja166;;;24;24;2;;;;;Askja;;;;24;24;;
;;;;Eirberg;;;;0;0;;
;;;;;G101;;;0;21;0;;;;;Gimli;;;;0;21;;
;;;;;HT204;;;0;40;0;;;;;Haskolatorg;;;;0;40;;
;;;;;VHV_231Tungumalamidstod;;;0;16;0;;;;;HusVigdisar;;;;0;16;;
;;;;Itrottafradasetur_Laugarvatn;;;;0;0;;
;;;;Logberg;;;;0;0;;
2017.12.4;09:00;70763620176;LOG304G;Oddi;O301;24;3;;;;
;;;;;O301;;;24;38;1;;;;;Oddi;;;;24;38;;
;;;;Stakkahlid_Enni;;;;0;0;;
;;;;Stakkahlid_Hamar;;;;0;0;;
;;;;Stakkahlid_Klettur;;;;0;0;;
;;;;;V260;;;0;21;0;;;;;VR_2;;;;0;21;;
Sérúrræði;;;;;;;;;;;
;;;;;A051;;;0;12;0
;;;;;A052;;;0;18;0
;;;;;A069;;;0;12;0
;;;;;A207;;;0;18;0
;;;;;A229;;;0;10;0
;;;;Adalbygging;;;;0;70;;
;;;;;A101;;;0;15;0
;;;;;A303;;;0;10;0
;;;;;A310;;;0;15;0
;;;;Arnagardur;;;;0;40;;
;;;;Askja;;;;0;0;;
;;;;Eirberg;;;;0;0;;
;;;;Gimli;;;;0;0;;
;;;;Haskolatorg;;;;0;0;;
;;;;;VHV103;;;0;10;0
;;;;;VHV104;;;0;10;0
;;;;;VHV107;;;0;10;0
;;;;;VHV108;;;0;10;0
;;;;HusVigdisar;;;;0;40;;
;;;;;K_salur_special;;;0;11;0
;;;;;K_salurb;;;0;15;0
;;;;Itrottafradasetur_Laugarvatn;;;;0;26;;
;;;;;L201;;;0;18;0
;;;;;L204;;;0;12;0
;;;;;L205;;;0;12;0
;;;;Logberg;;;;0;42;;
;;;;Oddi;;;;0;0;;
;;;;Stakkahlid_Enni;;;;0;0;;
;;;;;H208;;;0;16;0
;;;;;H209;;;0;16;0
;;;;Stakkahlid_Hamar;;;;0;32;;
;;;;Stakkahlid_Klettur;;;;0;0;;
;;;;VR_2;;;;0;0;;
Sérúrræði tölvustofur;;;;;;;;
;;;;Adalbygging;;;;0;0;;;
;;;;Arnagardur;;;;0;0;;;
;;;;Askja;;;;0;0;;;
;;;;;EIR105C_tolvuver;;;0;8;0
;;;;Eirberg;;;;0;8;;;
;;;;Gimli;;;;0;0;;;
;;;;Haskolatorg;;;;0;0;;;
;;;;HusVigdisar;;;;0;0;;;
;;;;Itrottafradasetur_Laugarvatn;;;;0;0;;;
;;;;Logberg;;;;0;0;;;
;;;;;O102;;;0;18;0
;;;;;O103;;;0;10;0
;;;;Oddi;;;;0;28;;;
;;;;Stakkahlid_Enni;;;;0;0;;;
;;;;Stakkahlid_Hamar;;;;0;0;;;
;;;;Stakkahlid_Klettur;;;;0;0;;;
;;;;VR_2;;;;0;0;;;
