Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
;;;;;A050;;;0;15;0;;
2019.12.13;09:00;70736420196;EDL107G;Adalbygging;A051;5;3;;;;0;0;HB-1 V02-157 HB-2 V02-158:VR_2
;;;;;A051;;;5;12;1;;
;;;;;A052;;;0;18;0;;
2019.12.13;09:00;09211120196;EDL102G;Adalbygging;A069;8;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
;;;;;A069;;;8;12;1;;
;;;;Adalbygging;;;;13;57;;;;
2019.12.13;09:00;09211120196;EDL102G;Arnagardur;A201;16;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;70736420196;EDL107G;Arnagardur;A201;16;3;;;;0;0;HB-1 V02-157 HB-2 V02-158:VR_2
;;;;;A201;;;32;48;2;;
2019.12.13;09:00;09211120196;EDL102G;Arnagardur;A301;16;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Arnagardur;A301;16;3;;;;0;0; 
;;;;;A301;;;32;48;2;;
2019.12.13;09:00;09211120196;EDL102G;Arnagardur;A304;7;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Arnagardur;A304;7;3;;;;0;0; 
;;;;;A304;;;14;20;2;;
2019.12.13;09:00;09211120196;EDL102G;Arnagardur;A311;9;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Arnagardur;A311;9;3;;;;0;0; 
;;;;;A311;;;18;26;2;;
;;;;Arnagardur;;;;96;142;;;;
2019.12.13;09:00;02061420196;GSL103G;Askja;Askja130;8;3;;;;0;0; 
;;;;;Askja130;;;8;20;1;;
2019.12.13;09:00;70736420196;EDL107G;Askja;Askja131;10;3;;;;0;0;HB-1 V02-157 HB-2 V02-158:VR_2
2019.12.13;09:00;10026320196;SAL115G;Askja;Askja131;18;3;;;;0;0; 
;;;;;Askja131;;;28;30;2;;
;;;;Askja;;;;36;50;;;;
;;;;Gimli;;;;0;0;;;;
2019.12.13;09:00;09211120196;EDL102G;Haskolatorg;HT102;29;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Haskolatorg;HT102;29;3;;;;0;0; 
;;;;;HT102;;;58;85;2;;
2019.12.13;09:00;09211120196;EDL102G;Haskolatorg;HT103;18;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Haskolatorg;HT103;18;3;;;;0;0; 
;;;;;HT103;;;36;54;2;;
2019.12.13;09:00;09211120196;EDL102G;Haskolatorg;HT104;18;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Haskolatorg;HT104;18;3;;;;0;0; 
;;;;;HT104;;;36;54;2;;
2019.12.13;09:00;09211120196;EDL102G;Haskolatorg;HT105;29;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Haskolatorg;HT105;29;3;;;;0;0; 
;;;;;HT105;;;58;85;2;;
;;;;Haskolatorg;;;;188;278;;;;
2019.12.13;09:00;09211120196;EDL102G;HusVigdisar;VHV007;21;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;HusVigdisar;VHV007;23;3;;;;0;0; 
;;;;;VHV007;;;44;44;2;;
;;;;HusVigdisar;;;;44;44;;;;
2019.12.13;09:00;09211120196;EDL102G;Logberg;L102;13;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;70855320196;REI502M;Logberg;L102;9;3;;;;0;0;V261 V152 V02-157:VR_2
;;;;;L102;;;22;25;2;;
2019.12.13;09:00;10026320196;SAL115G;Logberg;L103;10;3;;;;0;0; 
2019.12.13;09:00;70796820196;KME101G;Logberg;L103;15;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;L103;;;25;25;2;;
;;;;Logberg;;;;47;50;;;;
2019.12.13;09:00;10026320196;SAL115G;Oddi;O201;27;3;;;;0;0; 
2019.12.13;09:00;70796820196;KME101G;Oddi;O201;17;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;O201;;;44;44;2;;
;;;;Oddi;;;;44;44;;;;
2019.12.13;09:00;09211120196;EDL102G;Stakkahlid_Enni;E301;12;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;Stakkahlid_Enni;E301;18;3;;;;0;0; 
;;;;;E301;;;30;30;2;;
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Enni;E303;12;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
